index,category,definition,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
57,vehicles,bicycle,0.13,0.15,0.29,0.41,0.4,0.5,0.6,0.67,0.69,0.75,0.81,0.84,0.92,0.89,0.96
58,vehicles,boat,0.18,0.22,0.4,0.47,0.52,0.51,0.68,0.73,0.75,0.79,0.85,0.86,0.95,0.86,0.95
59,vehicles,bus,0.16,0.2,0.32,0.47,0.46,0.54,0.72,0.77,0.75,0.79,0.82,0.87,0.92,0.9,0.96
60,vehicles,car,0.39,0.47,0.66,0.75,0.73,0.77,0.86,0.91,0.91,0.94,0.92,0.95,0.98,0.97,0.99
61,vehicles,firetruck,0.05,0.03,0.13,0.2,0.22,0.29,0.43,0.47,0.55,0.63,0.61,0.66,0.83,0.77,0.88
62,vehicles,helicopter,0.04,0.04,0.1,0.17,0.17,0.25,0.34,0.43,0.49,0.58,0.62,0.69,0.79,0.65,0.83
63,vehicles,motorcycle,0.03,0.04,0.1,0.13,0.15,0.25,0.34,0.43,0.44,0.53,0.58,0.65,0.78,0.71,0.79
64,vehicles,sled,0.01,0.06,0.07,0.09,0.13,0.22,0.24,0.3,0.25,0.3,0.33,0.38,0.38,0.45,0.53
65,vehicles,stroller,0.06,0.05,0.16,0.22,0.22,0.18,0.28,0.33,0.48,0.53,0.53,0.54,0.83,0.54,0.79
66,vehicles,tractor,0.06,0.09,0.16,0.19,0.23,0.28,0.42,0.44,0.47,0.51,0.5,0.61,0.73,0.61,0.72
67,vehicles,train,0.12,0.17,0.34,0.41,0.49,0.47,0.69,0.75,0.78,0.79,0.85,0.88,0.95,0.9,0.97
68,vehicles,tricycle,0.01,0.03,0.04,0.06,0.09,0.11,0.2,0.17,0.26,0.31,0.35,0.38,0.5,0.42,0.57
69,vehicles,truck,0.29,0.32,0.51,0.58,0.62,0.64,0.78,0.8,0.85,0.86,0.92,0.91,0.97,0.93,0.97
70,toys,ball,0.77,0.8,0.9,0.92,0.95,0.93,0.96,0.98,0.96,0.97,0.98,0.98,0.99,0.98,0.99
71,toys,balloon,0.47,0.4,0.6,0.66,0.69,0.7,0.8,0.85,0.87,0.89,0.91,0.94,0.98,0.93,0.98
72,toys,bat,0.06,0.07,0.13,0.18,0.18,0.24,0.3,0.38,0.41,0.47,0.54,0.52,0.76,0.62,0.71
73,toys,block,0.19,0.22,0.37,0.41,0.45,0.48,0.59,0.65,0.67,0.71,0.76,0.81,0.9,0.8,0.93
74,toys,book,0.52,0.52,0.71,0.8,0.83,0.79,0.82,0.92,0.91,0.92,0.94,0.96,0.98,0.95,0.97
75,toys,bubbles,0.36,0.38,0.57,0.64,0.67,0.63,0.79,0.85,0.87,0.89,0.91,0.92,0.97,0.92,0.98
76,toys,chalk,0.02,0.03,0.07,0.12,0.11,0.18,0.28,0.29,0.35,0.39,0.41,0.47,0.64,0.54,0.69
77,toys,crayon,0.05,0.09,0.22,0.3,0.31,0.35,0.53,0.53,0.65,0.71,0.73,0.76,0.88,0.8,0.94
78,toys,doll,0.18,0.22,0.35,0.4,0.44,0.47,0.58,0.57,0.64,0.68,0.75,0.74,0.86,0.76,0.88
