"Word","Age","Freq","LogFreq"
"church","23",222,2.34830486304816
"clock","23",314,2.4983105537896
"close","23",136,2.13672056715641
"coat","23",208,2.32014628611105
"cockadoodledoo","23",521,2.71767050300226
"coffee","23",160,2.20682587603185
"cold","23",424,2.62838893005031
"comb","23",422,2.62634036737504
"cookie","23",292,2.46686762035411
"couch","23",486,2.68752896121463
"could","23",12,1.11394335230684
"cover","23",70,1.85125834871908
"cow","23",438,2.64246452024212
"cracker","23",149,2.17609125905568
"crib","23",500,2.69983772586725
"cry","23",166,2.22271647114758
"cup","23",417,2.62117628177504
"cute","23",605,2.78247262416629
"daddy","23",143,2.15836249209525
"dance","23",95,1.98227123303957
"dark","23",141,2.15228834438306
"day","23",98,1.99563519459755
"deer","23",294,2.46982201597816
"diaper","23",374,2.57403126772772
"did","23",54,1.74036268949424
"dig","23",48,1.69019608002851
"dinner","23",154,2.19033169817029
"dirty","23",355,2.55144999797288
"dish","23",396,2.59879050676312
"do","23",129,2.11394335230684
"doctor","23",102,2.01283722470517
"does","23",24,1.39794000867204
"dog","23",424,2.62838893005031
"doll","23",397,2.59988307207369
"donkey","23",459,2.66275783168157
"door","23",224,2.35218251811136
"down","23",388,2.58994960132571
"draw","23",344,2.53781909507327
"drawer","23",196,2.29446622616159
"dress","23",117,2.07188200730613
"drive","23",352,2.54777470538782
"dry","23",158,2.20139712432045
"duck","23",630,2.80002935924413
"each","23",10,1.04139268515823
"ear","23",335,2.52633927738984
"eat","23",344,2.53781909507327
"egg","23",247,2.39445168082622
"elephant","23",639,2.80617997398389
"empty","23",124,2.09691001300806
"every","23",27,1.44715803134222
"eye","23",50,1.70757017609794
"face","23",148,2.17318626841227
"fall","23",88,1.94939000664491
"fast","23",253,2.40483371661994
"feed","23",66,1.82607480270083
"feet","23",92,1.96848294855394
"fell","23",53,1.73239375982297
"fine","23",126,2.10380372095596
"finger","23",284,2.45484486000851
"finish","23",273,2.43775056282039
"first","23",51,1.7160033436348
"fit","23",49,1.69897000433602
"fix","23",115,2.06445798922692
"flower","23",262,2.41995574848976
"food","23",234,2.37106786227174
"foot","23",211,2.32633586092875
"for","23",43,1.64345267648619
"fork","23",474,2.67669360962487
"frog","23",276,2.44247976906445
"full","23",67,1.83250891270624
"garage","23",96,1.98677173426624
"garden","23",220,2.34439227368511
"gentle","23",251,2.40140054078154
"get","23",200,2.30319605742049
"giraffe","23",237,2.37657695705651
"girl","23",164,2.21748394421391
"give","23",337,2.52891670027765
"glass","23",511,2.70926996097583
"glasses","23",367,2.56584781867352
"go","23",363,2.56110138364906
"gonna","23",65,1.81954393554187
"good","23",206,2.31597034545692
"goose","23",250,2.39967372148104
"gotta","23",38,1.5910646070265
"grapes","23",164,2.21748394421391
"grass","23",139,2.14612803567824
"green","23",125,2.10037054511756
"gum","23",79,1.90308998699194
"hair","23",142,2.15533603746506
"hammer","23",148,2.17318626841227
"hand","23",188,2.27646180417324
"happy","23",313,2.49692964807321
"hard","23",500,2.69983772586725
"hat","23",182,2.26245108973043
"hate","23",15,1.20411998265592
"have","23",93,1.9731278535997
"he","23",55,1.7481880270062
"head","23",264,2.42324587393681
"hear","23",77,1.89209460269048
"heavy","23",114,2.06069784035361
"hello","23",82,1.91907809237607
"help","23",417,2.62117628177504
"hen","23",49,1.69897000433602
"her","23",328,2.51719589794997
"here","23",103,2.01703333929878
"hers","23",20,1.32221929473392
"hi","23",372,2.57170883180869
"hide","23",103,2.01703333929878
"high","23",79,1.90308998699194
"him","23",40,1.61278385671974
"his","23",226,2.35602585719312
"hit","23",194,2.29003461136252
"hold","23",114,2.06069784035361
"home","23",138,2.14301480025409
"horse","23",375,2.57518784492766
"hot","23",483,2.68484536164441
"house","23",368,2.56702636615906
"how","23",183,2.26481782300954
"hug","23",265,2.42488163663107
"hungry","23",616,2.79028516403324
"hurry","23",352,2.54777470538782
"hurt","23",401,2.60422605308447
"ice","23",154,2.19033169817029
"if","23",7,0.903089986991944
"in","23",236,2.3747483460101
"inside","23",347,2.54157924394658
"into","23",19,1.30102999566398
"is","23",51,1.7160033436348
"it","23",302,2.4814426285023
"jacket","23",120,2.08278537031645
"jeans","23",220,2.34439227368511
"juice","23",171,2.23552844690755
"jump","23",256,2.40993312333129
"keys","23",358,2.55509444857832
"kick","23",196,2.29446622616159
"kiss","23",379,2.57978359661681
"kitchen","23",314,2.4983105537896
"kitty","23",234,2.37106786227174
"knee","23",342,2.53529412004277
"knock","23",97,1.99122607569249
"lady","23",135,2.13353890837022
"lamb","23",486,2.68752896121463
"lamp","23",292,2.46686762035411
"last","23",24,1.39794000867204
"later","23",194,2.29003461136252
"leg","23",326,2.51454775266029
"lemme","23",84,1.92941892571429
"lick","23",66,1.82607480270083
"light","23",314,2.4983105537896
"like","23",91,1.96378782734556
"lion","23",46,1.67209785793572
"listen","23",69,1.84509804001426
"little","23",343,2.53655844257153
"long","23",34,1.54406804435028
"look","23",419,2.6232492903979
"loud","23",85,1.93449845124357
"love","23",324,2.51188336097887
"lunch","23",84,1.92941892571429
"mad","23",58,1.77085201164214
"make","23",73,1.86923171973098
"man","23",380,2.58092497567562
"me","23",241,2.38381536598043
"meat","23",104,2.02118929906994
"medicine","23",358,2.55509444857832
"meow","23",533,2.72754125702856
"milk","23",158,2.20139712432045
"mine","23",289,2.46239799789896
"mittens","23",73,1.86923171973098
"mommy","23",146,2.16731733474818
"money","23",226,2.35602585719312
"monkey","23",422,2.62634036737504
"moo","23",599,2.77815125038364
"moon","23",242,2.38560627359831
"more","23",267,2.42813479402879
"morning","23",375,2.57518784492766
"mouse","23",668,2.82542611776782
"mouth","23",368,2.56702636615906
"much","23",34,1.54406804435028
"my","23",557,2.74663419893758
"nap","23",166,2.22271647114758
"naughty","23",136,2.13672056715641
"new","23",63,1.80617997398389
"nice","23",232,2.36735592102602
"night","23",303,2.48287358360875
"no","23",256,2.40993312333129
"noisy","23",64,1.81291335664286
"none","23",156,2.19589965240923
"noodles","23",450,2.65417654187796
"nose","23",422,2.62634036737504
"not","23",482,2.68394713075151
"now","23",158,2.20139712432045
"nuts","23",70,1.85125834871908
"of","23",23,1.38021124171161
"off","23",296,2.47275644931721
"old","23",200,2.30319605742049
"on","23",467,2.67024585307412
"open","23",582,2.76566855475901
"orange","23",124,2.09691001300806
"other","23",347,2.54157924394658
"ouch","23",350,2.54530711646582
"our","23",29,1.47712125471966
"out","23",323,2.51054501020661
"oven","23",58,1.77085201164214
"over","23",73,1.86923171973098
"owie","23",214,2.33243845991561
"owl","23",571,2.75739602879302
"paint","23",82,1.91907809237607
"pajamas","23",88,1.94939000664491
"pants","23",381,2.58206336291171
"paper","23",210,2.32428245529769
"park","23",96,1.98677173426624
"party","23",138,2.14301480025409
"peas","23",194,2.29003461136252
"peekaboo","23",84,1.92941892571429
"pen","23",332,2.52244423350632
"pencil","23",92,1.96848294855394
"penguin","23",202,2.30749603791321
"penny","23",406,2.60959440922522
"people","23",196,2.29446622616159
"person","23",398,2.60097289568675
"pick","23",55,1.7481880270062
"picnic","23",49,1.69897000433602
"picture","23",374,2.57403126772772
"pig","23",539,2.73239375982297
"pillow","23",306,2.48713837547719
"pizza","23",158,2.20139712432045
"plant","23",322,2.5092025223311
"plate","23",272,2.43616264704076
"play","23",371,2.5705429398819
"please","23",202,2.30749603791321
"pony","23",550,2.74115159885178
"pool","23",350,2.54530711646582
"poor","23",18,1.27875360095283
"potty","23",244,2.38916608436453
"pound","23",208,2.32014628611105
"pour","23",53,1.73239375982297
"pretend","23",31,1.50514997831991
"pretty","23",534,2.72835378202123
"pretzel","23",90,1.95904139232109
"pull","23",286,2.45788189673399
"puppy","23",446,2.65030752313194
"purse","23",338,2.53019969820308
"push","23",277,2.44404479591808
"put","23",134,2.13033376849501
"quiet","23",92,1.96848294855394
"radio","23",188,2.27646180417324
"rain","23",328,2.51719589794997
"raisin","23",462,2.66558099101795
"read","23",329,2.51851393987789
"red","23",573,2.75891189239797
"refrigerator","23",96,1.98677173426624
"ride","23",188,2.27646180417324
"rock","23",164,2.21748394421391
"room","23",119,2.07918124604762
"run","23",152,2.1846914308176
"sad","23",91,1.96378782734556
"same","23",204,2.31175386105575
"saw","23",25,1.41497334797082
"say","23",91,1.96378782734556
"scared","23",329,2.51851393987789
"school","23",248,2.39619934709574
"scissors","23",184,2.26717172840301
"see","23",296,2.47275644931721
"seed","23",7,0.903089986991944
"shake","23",74,1.8750612633917
"share","23",78,1.89762709129044
"she","23",45,1.66275783168157
"sheep","23",152,2.1846914308176
"shh","23",214,2.33243845991561
"shirt","23",246,2.39269695325967
"shoe","23",90,1.95904139232109
"shorts","23",232,2.36735592102602
"shovel","23",354,2.55022835305509
"show","23",118,2.07554696139253
"sick","23",383,2.58433122436753
"sing","23",468,2.67117284271508
"sink","23",297,2.47421626407626
"sister","23",128,2.11058971029925
"sit","23",180,2.25767857486918
"skate","23",25,1.41497334797082
"sky","23",166,2.22271647114758
"sleep","23",488,2.68930885912362
"sleepy","23",326,2.51454775266029
"slide","23",278,2.4456042032736
"slow","23",45,1.66275783168157
"smile","23",154,2.19033169817029
"snow","23",214,2.33243845991561
"so","23",26,1.43136376415899
"soap","23",73,1.86923171973098
"sock","23",134,2.13033376849501
"soft","23",581,2.76492298464989
"some","23",278,2.4456042032736
"spaghetti","23",176,2.24797326636181
"spill","23",81,1.91381385238372
"splash","23",201,2.30535136944662
"spoon","23",498,2.69810054562339
"squirrel","23",278,2.4456042032736
"stairs","23",334,2.52504480703685
"stand","23",93,1.9731278535997
"star","23",128,2.11058971029925
"sticky","23",85,1.93449845124357
"stop","23",446,2.65030752313194
"store","23",196,2.29446622616159
"story","23",110,2.04532297878666
"stove","23",280,2.44870631990508
"strawberry","23",132,2.12385164096709
"stroller","23",466,2.66931688056611
"stuck","23",98,1.99563519459755
"sun","23",306,2.48713837547719
"sweater","23",356,2.55266821611219
"sweep","23",246,2.39269695325967
"swim","23",296,2.47275644931721
"table","23",398,2.60097289568675
"take","23",155,2.19312459835446
"talk","23",90,1.95904139232109
"taste","23",59,1.77815125038364
"teacher","23",124,2.09691001300806
"tear","23",31,1.50514997831991
"that","23",467,2.67024585307412
"the","23",66,1.82607480270083
"their","23",16,1.23044892137827
"them","23",25,1.41497334797082
"then","23",17,1.25527250510331
"there","23",366,2.56466606425209
"these","23",53,1.73239375982297
"they","23",20,1.32221929473392
"thirsty","23",205,2.31386722036915
"this","23",356,2.55266821611219
"those","23",38,1.5910646070265
"throw","23",419,2.6232492903979
"tickle","23",418,2.6222140229663
"tiger","23",156,2.19589965240923
"time","23",28,1.46239799789896
"tiny","23",38,1.5910646070265
"tired","23",514,2.71180722904119
"to","23",68,1.83884909073726
"toast","23",256,2.40993312333129
"today","23",196,2.29446622616159
"toe","23",448,2.65224634100332
"tomorrow","23",77,1.89209460269048
"tongue","23",260,2.41664050733828
"tonight","23",549,2.74036268949424
"too","23",92,1.96848294855394
"tooth","23",160,2.20682587603185
"touch","23",135,2.13353890837022
"towel","23",162,2.21218760440396
"toy","23",453,2.6570558528571
"train","23",119,2.07918124604762
"trash","23",360,2.55750720190566
"tray","23",30,1.49136169383427
"tree","23",178,2.25285303097989
"truck","23",474,2.67669360962487
"try","23",61,1.79239168949825
"tummy","23",128,2.11058971029925
