"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"57.0","344","39","182","113300","broken",1.60205999132796
"60.0","149","12","120","80352","broken",1.11394335230684
"63.0","163","8","108","48940","broken",0.954242509439325
"66.0","248","13","157","52266","broken",1.14612803567824
"69.0","74","3","117","40283","broken",0.602059991327962
"12","0","0","180","15597","brown",0
"15.0","0","0","87","33500","brown",0
"18.0","59","5","243","84684","brown",0.778151250383644
"21.0","109","18","297","164518","brown",1.27875360095283
"24.0","376","107","456","284427","brown",2.03342375548695
"27.0","295","119","616","402831","brown",2.07918124604762
"30.0","216","88","486","406497","brown",1.94939000664491
"33.0","243","81","361","332325","brown",1.91381385238372
"36.0","284","69","250","242145","brown",1.84509804001426
"39.0","174","33","236","189088","brown",1.53147891704226
"42.0","159","25","215","156791","brown",1.41497334797082
"45.0","229","36","249","156558","brown",1.56820172406699
"48.0","184","26","221","140589","brown",1.43136376415899
"51.0","327","37","154","112895","brown",1.57978359661681
"54.0","139","54","173","385725","brown",1.74036268949424
"57.0","194","22","182","113300","brown",1.36172783601759
"60.0","659","53","120","80352","brown",1.73239375982297
"63.0","326","16","108","48940","brown",1.23044892137827
"66.0","306","16","157","52266","brown",1.23044892137827
"69.0","223","9","117","40283","brown",1
"12","0","0","180","15597","cold",0
"15.0","328","11","87","33500","cold",1.07918124604762
"18.0","165","14","243","84684","cold",1.17609125905568
"21.0","559","92","297","164518","cold",1.96848294855394
"24.0","446","127","456","284427","cold",2.10720996964787
"27.0","399","161","616","402831","cold",2.20951501454263
"30.0","452","184","486","406497","cold",2.26717172840301
"33.0","334","111","361","332325","cold",2.04921802267018
"36.0","346","84","250","242145","cold",1.92941892571429
"39.0","327","62","236","189088","cold",1.79934054945358
"42.0","338","53","215","156791","cold",1.73239375982297
"45.0","293","46","249","156558","cold",1.67209785793572
"48.0","241","34","221","140589","cold",1.54406804435028
"51.0","221","25","154","112895","cold",1.41497334797082
"54.0","388","150","173","385725","cold",2.17897694729317
"57.0","282","32","182","113300","cold",1.51851393987789
"60.0","112","9","120","80352","cold",1
"63.0","224","11","108","48940","cold",1.07918124604762
"66.0","133","7","157","52266","cold",0.903089986991944
"69.0","173","7","117","40283","cold",0.903089986991944
"12","0","0","180","15597","cute",0
"15.0","59","2","87","33500","cute",0.477121254719662
"18.0","59","5","243","84684","cute",0.778151250383644
"21.0","18","3","297","164518","cute",0.602059991327962
"24.0","31","9","456","284427","cute",1
"27.0","14","6","616","402831","cute",0.845098040014257
"30.0","17","7","486","406497","cute",0.903089986991944
"33.0","15","5","361","332325","cute",0.778151250383644
